bid,hid
TX_20170HB3992,251769
TX_20170HB3455,66772
TX_20170HB3389,54494
TX_20170HB1290,251748
TX_20170HB1480,251748
TX_20170HB1603,251748
TX_20170HB1800,251748
TX_20170HB2492,251748
TX_20170HB2639,251748
TX_20170HB2881,251748
TX_20170HB2987,251748
TX_20170HB3783,251748
TX_20170HB4268,251748
TX_20170HB4270,251748
TX_20170HB4275,251748
TX_20170HB4281,251748
TX_20170HB4283,251748
TX_20170HB4287,251748
TX_20170HB4289,251748
TX_20170HB4297,251748
TX_20170HB4298,251748
TX_20170HB4301,251748
TX_20170HB4309,251748
TX_20170HB4310,251748
TX_20170HB553,251748
TX_20170HB557,251748
TX_20170HB3275,54451
TX_20170HB3276,54451
TX_20170HB1990,54451
TX_20170HB2928,54451
TX_20170HB931,54428
TX_20170HB2537,54397
TX_20170HB3270,54397
TX_20170HB3706,54397
TX_20170HB1036,54395
TX_20170HB2304,54395
TX_20170HB1693,54409
TX_20170HB2319,54409
TX_20170HB2557,54409
TX_20170HB3087,54409
TX_20170HB2962,54410
TX_20170HB3204,54410
TX_20170HB661,54410
TX_20170HB810,54410
TX_20170HB2542,54395
NY_201720180A10639,255434
NY_201720180A10648,255434
NY_201720180A10650,255434
NY_201720180A10707,255434
NY_201720180A10810,255434
NY_201720180A11093,255434
NY_201720180A11121,255434
NY_201720180A11123,255434
NY_201720180A11158,255434
NY_201720180A11172,255434
NY_201720180A11189,255434
NY_201720180A11203,255434
NY_201720180A1878,255434
NY_201720180A208,255434
NY_201720180A2799,255434
NY_201720180A2963,255434
NY_201720180A302,255434
NY_201720180A4504,255434
NY_201720180A5618,255434
NY_201720180A7265,255434
NY_201720180A7798,255434
NY_201720180A7870,255434
NY_201720180A8292,255434
NY_201720180A9537,255434
NY_201720180A9825,255434
NY_201720180A9861,255434
NY_201720180A9935,255434
NY_201720180A10475,254918
NY_201720180S562,253441
NY_201720180S414,253442
CA_201720180AB1694,253432
NY_201720180S2084,253439
NY_201720180S836,253439
NY_201720180S1186,253440
NY_201720180S2125,253440
NY_201720180S962,253440
NY_201720180S177,253441
NY_201720180S951,253442
NY_201720180S310,253443
NY_201720180S759,253443
NY_201720180S1115,253445
NY_201720180S1674,253446
NY_201720180S909,253446
NY_201720180S4546,253447
NY_201720180A1492,253453
NY_201720180A3660,253453
NY_201720180A8697,253453
NY_201720180A8955,253453
NY_201720180A8986,253453
NY_201720180A9002,253453
NY_201720180A8837,253454
NY_201720180A8985,253454
NY_201720180A8986,253454
NY_201720180A8987,253454
NY_201720180A9044,253454
NY_201720180A9616,253454
NY_201720180A9745,253454
NY_201720180A8930,253456
NY_201720180A8931,253456
NY_201720180A8932,253456
NY_201720180A4402,253457
NY_201720180A8955,253459
NY_201720180A9036,253459
NY_201720180A9037,253459
NY_201720180S723,253472
NY_201720180A2499,253473
NY_201720180A4098,253473
NY_201720180A6637,253473
NY_201720180A8734,253473
NY_201720180A8982,253473
NY_201720180A9030,253473
NY_201720180A9032,253473
NY_201720180A9564,253473
NY_201720180A9765,253473
NY_201720180A9814,253474
NY_201720180S7428,253476
NY_201720180S7429,253476
NY_201720180S7430,253476
NY_201720180S7597,253476
NY_201720180S1236,253444
NY_201720180S3152,253444
NY_201720180S5517,253444
NY_201720180S6933,253444
NY_201720180S205,253446
NY_201720180S1783,253447
NY_201720180S3960,253447
NY_201720180S696,253447
NY_201720180S1155,253448
NY_201720180S295,253448
NY_201720180S3375,253448
NY_201720180S1011,253449
NY_201720180S1124,253449
NY_201720180S721,253449
NY_201720180S829,253449
NY_201720180A2499,253455
NY_201720180A4098,253455
NY_201720180A6637,253455
NY_201720180A8734,253455
NY_201720180A8982,253455
NY_201720180A9030,253455
NY_201720180A9032,253455
NY_201720180A9564,253455
NY_201720180A9765,253455
NY_201720180A9566,253458
NY_201720180A9672,253458
NY_201720180A9585,253460
NY_201720180K796,253460
NY_201720180A9814,253461
NY_201720180S7587,253373
NY_201720180S155,253172
NY_201720180S2552,253172
NY_201720180S2168,253173
NY_201720180S425,253173
NY_201720180S4654,253173
NY_201720180S5847,253173
NY_201720180S4867,253275
NY_201720180S4869,253275
NY_201720180S5845,253275
NY_201720180S7440,253275
NY_201720180S2613,253276
NY_201720180S5415,253276
NY_201720180S6058,253276
NY_201720180S7557,253276
NY_201720180S1266,253277
NY_201720180S4136,253277
NY_201720180S6113,253277
NY_201720180S797,253277
NY_201720180S1652,253278
NY_201720180S2253,253278
NY_201720180S7388,253278
NY_201720180S997,253278
NY_201720180S3169,253279
NY_201720180S3977,253279
NY_201720180S4765,253279
NY_201720180S5142,253279
NY_201720180S2513,253280
NY_201720180S2705,253280
NY_201720180S370,253280
NY_201720180S6244,253280
NY_201720180S7588,253283
NY_201720180S1983,253287
NY_201720180S2325,253287
NY_201720180S479,253287
NY_201720180S965,253287
NY_201720180S2052,253158
NY_201720180S3450,253159
NY_201720180S924,253159
CA_201720180SB900,253431
CA_201720180SB918,253431
CA_201720180SB925,253431
CA_201720180SB926,253431
NY_201720180S4496,253372
NY_201720180S6054,253372
NY_201720180S6515,253372
NY_201720180S806,253372
TX_20170HB4033,252027
TX_20170HB1916,252028
TX_20170HB2677,252028
TX_20170HB2881,252028
TX_20170HB3461,252028
TX_20170HB3871,252028
TX_20170HB2524,252033
TX_20170HB2925,252033
TX_20170HB3198,252033
TX_20170HB445,252033
TX_20170HJR88,252033
TX_20170HB2756,252034
TX_20170HB3280,252034
TX_20170HB3557,252034
TX_20170HB3973,252034
TX_20170HB4052,252034
TX_20170HB513,252034
TX_20170HB939,252034
TX_20170HCR37,252045
TX_20170HCR44,252045
TX_20170HCR52,252045
TX_20170HCR84,252045
TX_20170HCR87,252045
TX_20170HB4021,252047
TX_20170HB506,252047
TX_20170HR1743,251991
TX_20170HR1744,251991
TX_20170HR1745,251991
TX_20170HR1746,251991
TX_20170HR1747,251991
TX_20170HR1748,251991
TX_20170HR1749,251991
TX_20170HR1750,251991
TX_20170HR1751,251991
TX_20170HR1752,251991
TX_20170HR1753,251991
TX_20170HR1754,251991
TX_20170HR1755,251991
TX_20170HR1756,251991
TX_20170HR1757,251991
TX_20170HR1758,251991
TX_20170HR1759,251991
TX_20170HR1760,251991
TX_20170HR1761,251991
TX_20170HR1762,251991
TX_20170HR1763,251991
TX_20170HR1764,251991
TX_20170HR1765,251991
TX_20170HR1766,251991
TX_20170HR1767,251991
TX_20170HR1768,251991
TX_20170HR1769,251991
TX_20170HR1770,251991
TX_20170HR1771,251991
TX_20170HR1772,251991
TX_20170HR1773,251991
TX_20170HR1774,251991
TX_20170HR1775,251991
TX_20170HR1776,251991
TX_20170HR1777,251991
TX_20170HR1778,251991
TX_20170HR672,251991
TX_20170HB1045,251993
TX_20170HB2075,251994
TX_20170HB2450,251994
TX_20170HB2625,251994
TX_20170HB4341,251994
TX_20170HB4343,251994
TX_20170HB4345,251994
TX_20170HB4349,251994
TX_20170HB2624,251995
TX_20170HB2681,251995
TX_20170HB3126,251995
TX_20170HB4273,251995
TX_20170HB4305,251995
TX_20170HB4306,251995
TX_20170HB4319,251995
TX_20170HB2213,251996
TX_20170HB4275,251996
TX_20170HB4301,251996
TX_20170HB4309,251996
TX_20170HB4325,251996
TX_20170HB4329,251996
TX_20170HB4331,251996
TX_20170HB4333,251996
TX_20170HB4335,251996
TX_20170HB4344,251996
TX_20170HB4277,251997
TX_20170HB3650,252018
TX_20170HB1031,252022
TX_20170HB1528,252022
TX_20170HB1624,252022
TX_20170HB2172,252022
TX_20170HB2461,252022
TX_20170HB2778,252022
TX_20170HB2862,252022
TX_20170HB3426,252022
TX_20170HB4163,252022
TX_20170HB946,252022
TX_20170HB1294,252023
TX_20170HB1394,252023
TX_20170HB1528,252023
TX_20170HB1624,252023
TX_20170HB1785,252023
TX_20170HB1959,252023
TX_20170HB2584,252023
TX_20170HB2592,252023
TX_20170HB2593,252023
TX_20170HB2778,252023
TX_20170HB2862,252023
TX_20170HB3238,252023
TX_20170HB3258,252023
TX_20170HB3651,252023
TX_20170HB3679,252023
TX_20170HB3809,252023
TX_20170HB3917,252023
TX_20170HB3950,252023
TX_20170HB3951,252023
TX_20170HB3955,252023
TX_20170HB3995,252023
TX_20170HB1302,252024
TX_20170HB1312,252024
TX_20170HB1372,252024
TX_20170HB1656,252024
TX_20170HB1764,252024
TX_20170HB2276,252024
TX_20170HB2433,252024
TX_20170HB2461,252024
TX_20170HB2462,252024
TX_20170HB2557,252024
TX_20170HB2700,252024
TX_20170HB2963,252024
TX_20170HB3061,252024
TX_20170HB3087,252024
TX_20170HB3252,252024
TX_20170HB3254,252024
TX_20170HB3255,252024
TX_20170HB3272,252024
TX_20170HB3499,252024
TX_20170HB3654,252024
TX_20170HB3689,252024
TX_20170HB3995,252024
TX_20170HB917,252024
TX_20170HB2947,252027
TX_20170HB3517,252027
TX_20170HB3574,252027
TX_20170HB4282,251997
TX_20170HB4285,251997
TX_20170HB4289,251997
TX_20170HB4292,251997
TX_20170HB4294,251997
TX_20170HB4303,251997
TX_20170HB4319,251997
TX_20170HB4320,251997
TX_20170HB1048,252000
TX_20170HB2780,252000
TX_20170HB3502,252000
TX_20170HB1633,252002
TX_20170HB1936,252002
TX_20170HB2235,252002
TX_20170HB2370,252002
TX_20170HB2572,252002
TX_20170HB3771,252002
TX_20170HB1351,252003
TX_20170HB1494,252003
TX_20170HB1623,252003
TX_20170HB1806,252003
TX_20170HB2445,252003
TX_20170HB2526,252003
TX_20170HB3181,252003
TX_20170HB3484,252003
TX_20170HB3731,252003
TX_20170HB3973,252003
TX_20170HB4029,252003
TX_20170HB902,252003
TX_20170HB939,252003
TX_20170HCR84,252004
TX_20170HCR37,252005
TX_20170HCR59,252005
TX_20170HB1113,252014
TX_20170HB1813,252014
TX_20170HB1883,252014
TX_20170HB2576,252015
TX_20170HB2858,252015
TX_20170HB3383,252015
TX_20170HB1665,252016
TX_20170HB1936,252016
TX_20170HB2463,252016
TX_20170HB2757,252016
TX_20170HB2962,252016
TX_20170HB3322,252016
TX_20170HB3379,252016
TX_20170HB434,252016
TX_20170HB787,252016
TX_20170HJR94,252016
CA_201720180AB1739,253343
CA_201720180HR63,253343
CA_201720180HR69,253343
CA_201720180SCR78,253343
NY_201720180A8083,253347
NY_201720180A8926,253347
NY_201720180A8951,253347
NY_201720180A8938,253348
NY_201720180A8950,253348
NY_201720180A8936,253349
NY_201720180A8995,253349
NY_201720180A1499,253350
NY_201720180A2674,253350
NY_201720180A4925,253350
NY_201720180A8014,253350
NY_201720180A8673,253350
NY_201720180A8717,253350
NY_201720180A8904,253350
NY_201720180A8989,253350
NY_201720180A8992,253350
NY_201720180A9034,253350
NY_201720180A8947,253352
NY_201720180A9001,253352
NY_201720180A8255,253355
NY_201720180A8941,253355
NY_201720180A8942,253355
NY_201720180A8943,253355
NY_201720180A8944,253355
NY_201720180A8945,253355
NY_201720180A5514,253356
NY_201720180A8916,253356
NY_201720180A8988,253356
NY_201720180A9520,253356
NY_201720180A9521,253356
NY_201720180A9562,253356
NY_201720180A9675,253356
NY_201720180A9676,253356
NY_201720180A8919,253358
NY_201720180A8923,253358
NY_201720180A8924,253358
NY_201720180A8961,253359
NY_201720180A8990,253359
NY_201720180A9563,253359
NY_201720180A8722,253360
NY_201720180A8803,253360
NY_201720180A8806,253360
NY_201720180A9677,253360
NY_201720180A4124,253361
NY_201720180A8934,253361
NY_201720180A8935,253361
NY_201720180A8954,253362
NY_201720180A9560,253362
NY_201720180S1750,253364
NY_201720180S2076,253364
NY_201720180S2518,253364
NY_201720180S2561,253364
NY_201720180S4310,253365
NY_201720180S6072,253365
NY_201720180S7549,253365
NY_201720180S849,253365
NY_201720180S1030,253366
NY_201720180S1443,253366
NY_201720180S2456,253366
NY_201720180S6966,253366
NY_201720180S1902,253367
NY_201720180S29,253367
NY_201720180S5684,253367
NY_201720180S737,253367
NY_201720180S2252,253368
NY_201720180S3537,253368
NY_201720180S3878,253368
NY_201720180S6898,253368
NY_201720180S5860,253369
NY_201720180S7043,253369
NY_201720180S710,253369
NY_201720180S7171,253369
NY_201720180S3067,253370
NY_201720180S6647,253370
NY_201720180S7532,253370
NY_201720180S7602,253370
NY_201720180S229,253371
NY_201720180S3308,253371
NY_201720180S5642,253371
NY_201720180S813,253371
TX_20170HR1669,251991
TX_20170HR1670,251991
TX_20170HR1671,251991
TX_20170HR1672,251991
TX_20170HR1673,251991
TX_20170HR1674,251991
TX_20170HR1675,251991
TX_20170HR1676,251991
TX_20170HR1677,251991
TX_20170HR1678,251991
TX_20170HR1679,251991
TX_20170HR1680,251991
TX_20170HR1681,251991
TX_20170HR1682,251991
TX_20170HR1683,251991
TX_20170HR1684,251991
TX_20170HR1685,251991
TX_20170HR1686,251991
TX_20170HR1687,251991
TX_20170HR1688,251991
TX_20170HR1689,251991
TX_20170HR1690,251991
TX_20170HR1691,251991
TX_20170HR1692,251991
TX_20170HR1693,251991
TX_20170HR1694,251991
TX_20170HR1695,251991
TX_20170HR1696,251991
TX_20170HR1697,251991
TX_20170HR1698,251991
TX_20170HR1699,251991
TX_20170HR1700,251991
TX_20170HR1701,251991
TX_20170HR1702,251991
TX_20170HR1703,251991
TX_20170HR1704,251991
TX_20170HR1705,251991
TX_20170HR1706,251991
TX_20170HR1707,251991
TX_20170HR1708,251991
TX_20170HR1709,251991
TX_20170HR1710,251991
TX_20170HR1711,251991
TX_20170HR1712,251991
TX_20170HR1713,251991
TX_20170HR1714,251991
TX_20170HR1715,251991
TX_20170HR1716,251991
TX_20170HR1717,251991
TX_20170HR1718,251991
TX_20170HR1719,251991
TX_20170HR1720,251991
TX_20170HR1721,251991
TX_20170HR1722,251991
TX_20170HR1723,251991
TX_20170HR1724,251991
TX_20170HR1725,251991
TX_20170HR1726,251991
TX_20170HR1727,251991
TX_20170HR1728,251991
TX_20170HR1729,251991
TX_20170HR1730,251991
TX_20170HR1731,251991
TX_20170HR1732,251991
TX_20170HR1733,251991
TX_20170HR1734,251991
TX_20170HR1735,251991
TX_20170HR1736,251991
TX_20170HR1737,251991
TX_20170HR1738,251991
TX_20170HR1739,251991
TX_20170HR1740,251991
TX_20170HR1741,251991
TX_20170HR1742,251991
TX_20170HR1887,251990
TX_20170HR1888,251990
TX_20170HR1889,251990
TX_20170HR1890,251990
TX_20170HR1891,251990
TX_20170HR1892,251990
TX_20170HR1893,251990
TX_20170HR1894,251990
TX_20170HR1895,251990
TX_20170HR1896,251990
TX_20170HR1897,251990
TX_20170HR1898,251990
TX_20170HR1899,251990
TX_20170HR1900,251990
TX_20170HR1901,251990
TX_20170HR1902,251990
TX_20170HR1903,251990
TX_20170HR1904,251990
TX_20170HR1906,251990
TX_20170HR1907,251990
TX_20170HR1908,251990
TX_20170HR1909,251990
TX_20170HR1910,251990
TX_20170HR1913,251990
TX_20170HR1914,251990
TX_20170HR1915,251990
TX_20170HR1918,251990
TX_20170HR1921,251990
TX_20170HR1922,251990
TX_20170HR1923,251990
TX_20170HR1924,251990
TX_20170HR1925,251990
TX_20170HR1926,251990
TX_20170HR1927,251990
TX_20170HR1930,251990
TX_20170HR1931,251990
TX_20170HR1933,251990
TX_20170HR1934,251990
TX_20170HR1935,251990
TX_20170HR1936,251990
TX_20170HR1938,251990
TX_20170HR1939,251990
TX_20170HR1941,251990
TX_20170HR1942,251990
TX_20170HR1943,251990
TX_20170HR1944,251990
TX_20170HR1945,251990
TX_20170HR1946,251990
TX_20170HR1947,251990
TX_20170HR1948,251990
TX_20170HR1949,251990
TX_20170HR1951,251990
TX_20170HR1953,251990
TX_20170HR1954,251990
TX_20170HR1955,251990
TX_20170HR1956,251990
TX_20170HR1957,251990
TX_20170HR1958,251990
TX_20170HR1960,251990
TX_20170HR1961,251990
TX_20170HR1962,251990
TX_20170HR1963,251990
TX_20170HR1964,251990
TX_20170HR1965,251990
TX_20170HR1966,251990
TX_20170HR1967,251990
TX_20170HR1232,251991
TX_20170HR1480,251991
TX_20170HR1481,251991
TX_20170HR1482,251991
TX_20170HR1483,251991
TX_20170HR1484,251991
TX_20170HR1485,251991
TX_20170HR1486,251991
TX_20170HR2098,251988
TX_20170HR2099,251988
TX_20170HR2100,251988
TX_20170HR2101,251988
TX_20170HR2102,251988
TX_20170HR2103,251988
TX_20170HR2104,251988
TX_20170HR2105,251988
TX_20170HR2106,251988
TX_20170HR2107,251988
TX_20170HR2108,251988
TX_20170HR2110,251988
TX_20170HR2111,251988
TX_20170HR2117,251988
TX_20170HR2124,251988
TX_20170HR2125,251988
TX_20170HR2126,251988
TX_20170HR2127,251988
TX_20170HR2128,251988
TX_20170HR2129,251988
TX_20170HR2130,251988
TX_20170HR2133,251988
TX_20170HR2135,251988
TX_20170HR2136,251988
TX_20170HR2137,251988
TX_20170HR2138,251988
TX_20170HR2139,251988
TX_20170HR2140,251988
TX_20170HR2141,251988
TX_20170HR2142,251988
TX_20170HR2144,251988
TX_20170HR2146,251988
TX_20170HR2147,251988
TX_20170HR2148,251988
TX_20170HR2149,251988
TX_20170HR2150,251988
TX_20170HR2151,251988
TX_20170HR2152,251988
TX_20170HR2153,251988
TX_20170HR2154,251988
TX_20170HR2155,251988
TX_20170HR2156,251988
TX_20170HR2157,251988
TX_20170HR2158,251988
TX_20170HR2159,251988
TX_20170HR2160,251988
TX_20170HR2161,251988
TX_20170HR2162,251988
TX_20170HR2163,251988
TX_20170HR2164,251988
TX_20170HR2165,251988
TX_20170HR2166,251988
TX_20170HR2167,251988
TX_20170HR2168,251988
TX_20170HR2169,251988
TX_20170HR2170,251988
TX_20170HR2171,251988
TX_20170HR2172,251988
TX_20170HR2173,251988
TX_20170HR2174,251988
TX_20170HR2175,251988
TX_20170HR2176,251988
TX_20170HR2177,251988
TX_20170HR2179,251988
TX_20170HR2180,251988
TX_20170HR2181,251988
TX_20170HR2182,251988
TX_20170HR2183,251988
TX_20170HR2184,251988
TX_20170HR2186,251988
TX_20170HR2187,251988
TX_20170HR2188,251988
TX_20170HR2189,251988
TX_20170HR2190,251988
TX_20170HR1794,251990
TX_20170HR1795,251990
TX_20170HR1796,251990
TX_20170HR1797,251990
TX_20170HR1798,251990
TX_20170HR1799,251990
TX_20170HR1800,251990
TX_20170HR1801,251990
TX_20170HR1802,251990
TX_20170HR1803,251990
TX_20170HR1804,251990
TX_20170HR1805,251990
TX_20170HR1806,251990
TX_20170HR1807,251990
TX_20170HR1808,251990
TX_20170HR1809,251990
TX_20170HR1810,251990
TX_20170HR1811,251990
TX_20170HR1812,251990
TX_20170HR1813,251990
TX_20170HR1814,251990
TX_20170HR1815,251990
TX_20170HR1816,251990
TX_20170HR1817,251990
TX_20170HR1818,251990
TX_20170HR1819,251990
TX_20170HR1820,251990
TX_20170HR1821,251990
TX_20170HR1822,251990
TX_20170HR1823,251990
TX_20170HR1824,251990
TX_20170HR1825,251990
TX_20170HR1826,251990
TX_20170HR1827,251990
TX_20170HR1834,251990
TX_20170HR1835,251990
TX_20170HR1836,251990
TX_20170HR1837,251990
TX_20170HR1838,251990
TX_20170HR1840,251990
TX_20170HR1843,251990
TX_20170HR1845,251990
TX_20170HR1846,251990
TX_20170HR1848,251990
TX_20170HR1849,251990
TX_20170HR1850,251990
TX_20170HR1853,251990
TX_20170HR1856,251990
TX_20170HR1857,251990
TX_20170HR1858,251990
TX_20170HR1859,251990
TX_20170HR1860,251990
TX_20170HR1861,251990
TX_20170HR1862,251990
TX_20170HR1863,251990
TX_20170HR1864,251990
TX_20170HR1865,251990
TX_20170HR1866,251990
TX_20170HR1867,251990
TX_20170HR1868,251990
TX_20170HR1870,251990
TX_20170HR1873,251990
TX_20170HR1874,251990
TX_20170HR1875,251990
TX_20170HR1877,251990
TX_20170HR1878,251990
TX_20170HR1879,251990
TX_20170HR1880,251990
TX_20170HR1881,251990
TX_20170HR1882,251990
TX_20170HR1883,251990
TX_20170HR1884,251990
TX_20170HR1885,251990
TX_20170HR1886,251990
TX_20170HR1579,251991
TX_20170HR1580,251991
TX_20170HR1581,251991
TX_20170HR1582,251991
TX_20170HR1585,251991
TX_20170HR1586,251991
TX_20170HR1587,251991
TX_20170HR1588,251991
TX_20170HR1589,251991
TX_20170HR1591,251991
TX_20170HR1592,251991
TX_20170HR1593,251991
TX_20170HR1594,251991
TX_20170HR1595,251991
TX_20170HR1596,251991
TX_20170HR1597,251991
TX_20170HR1598,251991
TX_20170HR1599,251991
TX_20170HR1600,251991
TX_20170HR1601,251991
TX_20170HR1602,251991
TX_20170HR1603,251991
TX_20170HR1604,251991
TX_20170HR1605,251991
TX_20170HR1606,251991
TX_20170HR1607,251991
TX_20170HR1608,251991
TX_20170HR1609,251991
TX_20170HR1610,251991
TX_20170HR1611,251991
TX_20170HR1613,251991
TX_20170HR1615,251991
TX_20170HR1616,251991
TX_20170HR1617,251991
TX_20170HR1618,251991
TX_20170HR1619,251991
TX_20170HR1620,251991
TX_20170HR1622,251991
TX_20170HR1623,251991
TX_20170HR1624,251991
TX_20170HR1626,251991
TX_20170HR1627,251991
TX_20170HR1628,251991
TX_20170HR1631,251991
TX_20170HR1632,251991
TX_20170HR1634,251991
TX_20170HR1635,251991
TX_20170HR1641,251991
TX_20170HR1642,251991
TX_20170HR1643,251991
TX_20170HR1644,251991
TX_20170HR1645,251991
TX_20170HR1646,251991
TX_20170HR1647,251991
TX_20170HR1648,251991
TX_20170HR1650,251991
TX_20170HR1651,251991
TX_20170HR1652,251991
TX_20170HR1653,251991
TX_20170HR1655,251991
TX_20170HR1656,251991
TX_20170HR1657,251991
TX_20170HR1658,251991
TX_20170HR1659,251991
TX_20170HR1660,251991
TX_20170HR1661,251991
TX_20170HR1662,251991
TX_20170HR1663,251991
TX_20170HR1664,251991
TX_20170HR1665,251991
TX_20170HR1666,251991
TX_20170HR1667,251991
TX_20170HR1668,251991
TX_20170HR2191,251988
TX_20170HR2192,251988
TX_20170HR2193,251988
TX_20170HR2194,251988
TX_20170HR2195,251988
TX_20170HR2196,251988
TX_20170HR2197,251988
TX_20170HR2198,251988
TX_20170HR2199,251988
TX_20170HR2200,251988
TX_20170HR2201,251988
TX_20170HR2202,251988
TX_20170HR2203,251988
TX_20170HR2204,251988
TX_20170HR2205,251988
TX_20170HR2206,251988
TX_20170HR2208,251988
TX_20170HR2210,251988
TX_20170HR2211,251988
TX_20170HR2212,251988
TX_20170HR2213,251988
TX_20170HR2214,251988
TX_20170HR2215,251988
TX_20170HR2216,251988
TX_20170HR2218,251988
TX_20170HR2219,251988
TX_20170HR2220,251988
TX_20170HR2221,251988
TX_20170HR2223,251988
TX_20170HR2224,251988
TX_20170HR1968,251989
TX_20170HR1969,251989
TX_20170HR1970,251989
TX_20170HR1971,251989
TX_20170HR1972,251989
TX_20170HR1973,251989
TX_20170HR1974,251989
TX_20170HR1975,251989
TX_20170HR1976,251989
TX_20170HR1978,251989
TX_20170HR1979,251989
TX_20170HR1980,251989
TX_20170HR1981,251989
TX_20170HR1982,251989
TX_20170HR1983,251989
TX_20170HR1984,251989
TX_20170HR1985,251989
TX_20170HR1986,251989
TX_20170HR1987,251989
TX_20170HR1988,251989
TX_20170HR1989,251989
TX_20170HR1990,251989
TX_20170HR1991,251989
TX_20170HR1992,251989
TX_20170HR1993,251989
TX_20170HR1994,251989
TX_20170HR1995,251989
TX_20170HR1996,251989
TX_20170HR1500,251990
TX_20170HR1779,251990
TX_20170HR1780,251990
TX_20170HR1781,251990
TX_20170HR1782,251990
TX_20170HR1783,251990
TX_20170HR1784,251990
TX_20170HR1785,251990
TX_20170HR1786,251990
TX_20170HR1787,251990
TX_20170HR1788,251990
TX_20170HR1789,251990
TX_20170HR1790,251990
TX_20170HR1791,251990
TX_20170HR1792,251990
TX_20170HR1793,251990
TX_20170HR1487,251991
TX_20170HR1489,251991
TX_20170HR1491,251991
TX_20170HR1492,251991
TX_20170HR1493,251991
TX_20170HR1495,251991
TX_20170HR1496,251991
TX_20170HR1497,251991
TX_20170HR1498,251991
TX_20170HR1499,251991
TX_20170HR1502,251991
TX_20170HR1503,251991
TX_20170HR1505,251991
TX_20170HR1506,251991
TX_20170HR1508,251991
TX_20170HR1509,251991
TX_20170HR1513,251991
TX_20170HR1514,251991
TX_20170HR1515,251991
TX_20170HR1516,251991
TX_20170HR1517,251991
TX_20170HR1518,251991
TX_20170HR1519,251991
TX_20170HR1520,251991
TX_20170HR1521,251991
TX_20170HR1522,251991
TX_20170HR1523,251991
TX_20170HR1524,251991
TX_20170HR1525,251991
TX_20170HR1526,251991
TX_20170HR1527,251991
TX_20170HR1528,251991
TX_20170HR1529,251991
TX_20170HR1530,251991
TX_20170HR1531,251991
TX_20170HR1532,251991
TX_20170HR1533,251991
TX_20170HR1535,251991
TX_20170HR1538,251991
TX_20170HR1539,251991
TX_20170HR1540,251991
TX_20170HR1541,251991
TX_20170HR1542,251991
TX_20170HR1543,251991
TX_20170HR1544,251991
TX_20170HR1547,251991
TX_20170HR1549,251991
TX_20170HR1550,251991
TX_20170HR1553,251991
TX_20170HR1554,251991
TX_20170HR1555,251991
TX_20170HR1556,251991
TX_20170HR1557,251991
TX_20170HR1558,251991
TX_20170HR1559,251991
TX_20170HR1560,251991
TX_20170HR1561,251991
TX_20170HR1562,251991
TX_20170HR1563,251991
TX_20170HR1564,251991
TX_20170HR1565,251991
TX_20170HR1566,251991
TX_20170HR1567,251991
TX_20170HR1568,251991
TX_20170HR1569,251991
TX_20170HR1570,251991
TX_20170HR1571,251991
TX_20170HR1572,251991
TX_20170HR1573,251991
TX_20170HR1574,251991
TX_20170HR1575,251991
TX_20170HR1576,251991
TX_20170HR1577,251991
TX_20170HR1578,251991
TX_20170HB1106,251943
TX_20170HB1247,251943
TX_20170HB1457,251943
TX_20170HB1586,251943
