pid,first,last,middle,oid,name
127,Melanie,Wiegner,L.,45,"Ford Motor Company"
128,William,Krauss,E.,10,"California Association Of Harbor Masters And Port Captains"
128,William,Krauss,E.,16,"Marina Recreation Association"
128,William,Krauss,E.,1594,"National Marine Manufacturers Association"
128,William,Krauss,E.,1989,"California Yacht Brokers Association"
131,Sandra,Spelliscy,A.,24,"Planning And Conservation League"
132,James,Ewert,W.,25,"California Newspaper Publishers Association"
132,James,Ewert,W.,1212,"Cnpa Services Inc."
140,Aaron,Read,L.,37,"California Association Of Highway Patrolmen"
140,Aaron,Read,L.,39,"California Association Of Professional Scientists"
140,Aaron,Read,L.,384,"Professional Engineers In California Government"
140,Aaron,Read,L.,420,"Peace Officers Research Association Of California"
141,Robyn,Black,A.,339,"Thoroughbred Owners Of California"
141,Robyn,Black,A.,1228,"California Thoroughbred Breeders Association (Ctba)"
142,Randy,Perry,A.,37,"California Association Of Highway Patrolmen"
142,Randy,Perry,A.,420,"Peace Officers Research Association Of California"
142,Randy,Perry,A.,3109,"Read & Associates, Aaron"
142,Randy,Perry,A.,29068,"Reed & Associates"
142,Randy,Perry,A.,29102,"Aaron Read and Associates"
142,Randy,Perry,A.,29188,"California Cessation of Highway Patrol"
142,Randy,Perry,A.,29319,"California Association and Highway Patrol"
142,Randy,Perry,A.,29341,Port
142,Randy,Perry,A.,29726,BORAC
142,Randy,Perry,A.,29745,"California Association of Highway Patrol"
143,Steve,Baker,NULL,384,"Professional Engineers In California Government"
143,Steve,Baker,NULL,1041,"Upper San Gabriel Valley Municipal Water District"
143,Steve,Baker,NULL,3070,"Monterey Bay Aquarium"
143,Steve,Baker,NULL,3109,"Read & Associates, Aaron"
143,Steve,Baker,NULL,29102,"Aaron Read and Associates"
143,Steve,Baker,NULL,29607,"Parks Forward Commission"
144,Terence,McHale,NULL,147,"California Optometric Association"
144,Terence,McHale,NULL,431,"United Services Automobile Association (Usaa)"
144,Terence,McHale,NULL,3109,"Read & Associates, Aaron"
144,Terence,McHale,NULL,3910,"California Grand Casino"
144,Terence,McHale,NULL,29102,"Aaron Read and Associates"
146,Mark,Schacht,S.,44,"California Rural Legal Assistance Foundation, Inc."
149,Judith,Larson,NULL,3885,"Jericho: A Voice For Justice"
151,"V. John",White,NULL,47,"Clean Power Campaign"
152,Richard,Ross,NULL,26,"United Farm Workers Of America Afl-Cio"
157,John,Norwood,A.,61,"California Insurance Wholesalers Association (Ciwa)"
159,Kevin,Baker,NULL,492,"American Civil Liberties Union Foundation Of Southern California"
161,Maureen,O'Haren,NULL,695,"Irvine Ranch Water District"
161,Maureen,O'Haren,NULL,709,"Blue Shield Of California"
166,William,Barnaby,E.,1411,"California Medical Transportation Association, Inc."
167,David,Ackerman,G.,9,"Associated General Contractors Of California"
167,David,Ackerman,G.,2506,"Associated Builders And Contractors Of California"
168,Paul,Gladfelty,P.,9,"Associated General Contractors Of California"
168,Paul,Gladfelty,P.,5536,"Data Transparency Coalition"
168,Paul,Gladfelty,P.,29406,Travelers
173,Margaret,Catzen,NULL,1934,"Western Growers Association"
175,Richard,Harris,C.,29154,"Water Resuse Association"
190,Charles,Cole,L.,273,"Specialty Equipment Market Association"
192,Catherine,Borg,NULL,161,"Western Manufactured Housing Communities Association"
197,Timothy,Yaryan,H.B.,237,"California Correctional Supervisors Organization, Inc."
197,Timothy,Yaryan,H.B.,500,"California Chapter American College Of Emergency Physicians"
197,Timothy,Yaryan,H.B.,704,"Association For Los Angeles Deputy Sheriffs"
197,Timothy,Yaryan,H.B.,736,"Los Angeles Police Protective League"
197,Timothy,Yaryan,H.B.,738,"Riverside Sheriffs' Association"
197,Timothy,Yaryan,H.B.,746,"California Narcotic Officers' Association"
197,Timothy,Yaryan,H.B.,2286,"California Association Of Code Enforcement Officers"
197,Timothy,Yaryan,H.B.,4879,"California College And University Police Chiefs Association"
198,Skip,Daum,NULL,208,"Community Associations Institute/California Legislative Action Committee"
207,Kurt,Evans,M.,209,"Santa Clara Valley Transportation Authority"
208,Douglas,Chiappetta,NULL,29,"Union Of American Physicians And Dentists"
208,Douglas,Chiappetta,NULL,2230,"American Federation Of State, County & Municiple Employees (Afscme)"
212,Steven,Wallauch,T.,411,"Alameda-Contra Costa Transit District"
212,Steven,Wallauch,T.,4092,"Habitat For Humanity Affiliates Of California"
212,Steven,Wallauch,T.,4158,"Platinum Advisors LLC"
212,Steven,Wallauch,T.,4253,"Alameda County Transportation Commission"
212,Steven,Wallauch,T.,4910,"Napa County Transportation And Planning Agency/Napa Valley Transportation Authority"
212,Steven,Wallauch,T.,5065,"California Association For Coordinated Transportation (Calact)"
212,Steven,Wallauch,T.,29514,"Alameda Contra Costa Transit District"
212,Steven,Wallauch,T.,29515,"Napa Valley Transportation Authority"
214,James,Gross,C.,292,"Merck & Co., Inc. Including Merck Human Health Division And Medco Health Solutions Inc. ('Medco Health') And Medco Cal"
214,James,Gross,C.,357,"County Of San Diego"
214,James,Gross,C.,363,"Genentech, Inc."
214,James,Gross,C.,800,"Johnson & Johnson Services, Inc."
214,James,Gross,C.,1289,"California Psychological Association"
214,James,Gross,C.,1760,"California Psychiatric Association"
214,James,Gross,C.,3409,"Novo Nordisk, Inc."
214,James,Gross,C.,3801,"Cystic Fibrosis Foundation"
215,Robert,Naylor,W.,3774,"Stanford University"
215,Robert,Naylor,W.,4156,"Fieldstead And Company, Inc."
215,Robert,Naylor,W.,4678,"Amador County Transportation Commission"
215,Robert,Naylor,W.,5172,"6BEDS, Inc."
217,Eugene,Erbin,NULL,68,"Alliance Of Automobile Manufacturers Inc."
218,Cathy,Christian,A.,202,"Contra Costa County"
218,Cathy,Christian,A.,1907,"United Auburn Indian Community"
228,William,Gonzalez,NULL,1582,"Sacramento Municipal Utility District"
228,William,Gonzalez,NULL,2487,"Union Of Concerned Scientists"
228,William,Gonzalez,NULL,19233,"Dji Technology, LLC"
229,Steve,Henderson,NULL,230,"California School Employees Association"
230,Dolores,Duran-Flores,NULL,230,"California School Employees Association"
242,Nancy,Peverini,A.,153,"Consumer Attorneys Of California"
243,Nancy,Drabble,NULL,153,"Consumer Attorneys Of California"
246,Bill,Allayaud,NULL,3604,"Environmental Working Group"
258,Cynthia,Laubacher,M.,17106,"Express Scripts Holding Company"
260,Thomas,Bone,E.,309,"Sutter Health"
260,Thomas,Bone,E.,3279,Biocom
263,Delaney,Hunter,L.,121,"San Bernardino Associated Governments"
263,Delaney,Hunter,L.,209,"Santa Clara Valley Transportation Authority"
263,Delaney,Hunter,L.,1217,"Southern California Public Power Authority (Scppa)"
263,Delaney,Hunter,L.,1449,"California Solar Energy Industries Association"
263,Delaney,Hunter,L.,1897,"Ventura County Transportation Commission"
263,Delaney,Hunter,L.,2485,"San Diego County Water Authority"
263,Delaney,Hunter,L.,2487,"Union Of Concerned Scientists"
263,Delaney,Hunter,L.,3013,"First Solar"
263,Delaney,Hunter,L.,18153,"Energysource, LLC"
265,Mark,Watts,S.,202,"Contra Costa County"
265,Mark,Watts,S.,205,"Transportation California"
265,Mark,Watts,S.,1597,"Riverside County Transportation Commission"
265,Mark,Watts,S.,4452,"Tahoe Transportation District"
265,Mark,Watts,S.,4677,"Capital Southeast Connector Jpa"
265,Mark,Watts,S.,17274,"General Motors LLC"
266,Craig,Page,C.,330,"California Land Title Association"
269,Mary,Shay,Ellen,378,"California Association Of Local Housing Finance Agencies"
272,Michelle,Castro,NULL,2219,"Service Employees International Union, Local 1000"
275,Tim,Chang,P.,371,"Automobile Club Of Southern California/Interinsurance Exchange Of The Automobile Club/Acsc Management Services Inc."
275,Tim,Chang,P.,29516,"Auto Club of Southern California"
278,Justin,Malan,G.,2437,"Community Alliance With Family Farmers"
278,Justin,Malan,G.,2495,"California Compost Coalition"
278,Justin,Malan,G.,2813,"Alameda County Waste Management Authority"
278,Justin,Malan,G.,3766,"Heal The Bay"
281,Daniel,Jacobson,L.,3084,"Environment California"
288,Lydia,Bourne,C.,130,"California School Nurses Organization"
288,Lydia,Bourne,C.,835,"American Academy Of Pediatrics California District IX"
288,Lydia,Bourne,C.,28402,"California School Nurses"
288,Lydia,Bourne,C.,29744,"California Division of the American Academy of Pediatrics"
294,Scott,Wetch,NULL,699,"International Union Of Elevator Constructors Local 18"
294,Scott,Wetch,NULL,2581,"California State Pipe Trades Council"
294,Scott,Wetch,NULL,2582,"California State Association Of Electrical Workers"
294,Scott,Wetch,NULL,2620,"Western States Council Of Sheet Metal Workers"
296,Jose,Mejia,NULL,433,"California State Council Of Laborers"
297,Richard,Holober,NULL,4675,"Consumer Federation Of California"
313,Jamie,Khan,S.,9,"Associated General Contractors Of California"
316,Karen,Keene,NULL,8,"California State Association Of Counties"
338,Veronica,Villalobos,NULL,507,"Association Of Independent California Colleges & Universities (Aiccu)"
340,Kathleen,Mossburg,NULL,446,"Public Health Institute"
340,Kathleen,Mossburg,NULL,509,"California Food Policy Advocates"
340,Kathleen,Mossburg,NULL,510,"California Family Health Council Inc."
340,Kathleen,Mossburg,NULL,1021,"Local Health Plans Of California"
340,Kathleen,Mossburg,NULL,2429,"San Francisco Aids Foundation"
340,Kathleen,Mossburg,NULL,2799,"California Association Of Food Banks"
340,Kathleen,Mossburg,NULL,5105,"Developmental Services Network"
344,Frank,Mecca,J.,131,"County Welfare Directors Association Of California (Cwda)"
348,Esperanza,Ross,NULL,26,"United Farm Workers Of America Afl-Cio"
350,Edwin,Berends,NULL,608,"County Of Los Angeles"
352,Daniel,Felizzatto,NULL,105,"Los Angeles County / District Attorney'S Office"
352,Daniel,Felizzatto,NULL,583,"County Of Los Angeles District Attorney'S Office"
352,Daniel,Felizzatto,NULL,715,"Los Angeles County District Attorney'S Office"
352,Daniel,Felizzatto,NULL,29775,"Conflict of Action Alliance"
353,Stephen,Carlson,E.,115,"Santa Barbara Rental Property Association"
353,Stephen,Carlson,E.,35903,"Apartment Association of Greater Los Angeles"
353,Stephen,Carlson,E.,29889,"Wireless Industry Trade Association"
355,Katherine,Brandenburg,S.,794,"California Chapters-Institute Of Scrap Recycling Industries"
355,Katherine,Brandenburg,S.,29626,"Alameda County of Supervisors"
355,Katherine,Brandenburg,S.,29672,"County of Alameda Board of Supervisors"
355,Katherine,Brandenburg,S.,29846,"California Infel Federation"
357,Michael,Flanigan,R.,3479,"Les Schwab Comapny"
358,Terrance,Flanigan,W.,3897,"Southern Wine & Spirits Of America, Inc."
361,Trudy,Schafer,P.,548,"League Of Women Voters Of California"
361,Trudy,Schafer,P.,29773,"Legal Women Voters of California"
377,Kristy,Wiese,NULL,5119,"California Association Of Dental Plans"
378,Kelly,Brooks,NULL,8,"California State Association Of Counties"
378,Kelly,Brooks,NULL,131,"County Welfare Directors Association Of California (Cwda)"
378,Kelly,Brooks,NULL,1403,"California Association Of Public Hospitals And Health Systems"
382,Catherine,Senderling,NULL,131,"County Welfare Directors Association Of California (Cwda)"
387,Julianne,Broyles,A.,9,"Associated General Contractors Of California"
387,Julianne,Broyles,A.,112,"California Employment Law Council"
387,Julianne,Broyles,A.,582,"California Association Of Health Underwriters"
387,Julianne,Broyles,A.,1418,"California Association Of Joint Powers Authorities"
387,Julianne,Broyles,A.,1661,"Western Electrical Contractors Association (Weca-Iec)"
387,Julianne,Broyles,A.,2506,"Associated Builders And Contractors Of California"
387,Julianne,Broyles,A.,2918,"Plumbing Heating Cooling Contractors Of California"
387,Julianne,Broyles,A.,10055,"Family Business Association of California"
388,Dominic,"Di Mare",F.,1217,"Southern California Public Power Authority (Scppa)"
388,Dominic,"Di Mare",F.,1264,"Northern California Water Association"
388,Dominic,"Di Mare",F.,1716,"Covanta Energy"
388,Dominic,"Di Mare",F.,2780,"Merced Irrigation District"
389,Valerie,Nera,NULL,89,"California Chamber Of Commerce"
393,Bret,Barrow,NULL,3972,"Msr Public Power Agency"
393,Bret,Barrow,NULL,29482,"National Electoral of Contractors Association"
393,Bret,Barrow,NULL,29851,"National Electro Contractors Association"
393,Bret,Barrow,NULL,29852,"California Legislative Council of Plumbing Heating Piping Industry"
397,Carlyle,Brakensiek,R.,611,"California Society Of Industrial Medicine And Surgery"
397,Carlyle,Brakensiek,R.,1119,"California Coin And Bullion Merchants Association Inc."
403,Jean,Hurst,Kinney,807,"Association Of California Healthcare Districts (Achd)"
403,Jean,Hurst,Kinney,28665,"County of Santa Cruz"
403,Jean,Hurst,Kinney,29834,"Santa Clara County Clek Board of Supervisors"
404,Joshua,Golka,P.,449,"American Federation Of State County And Municipal Employees Afl-Cio"
405,Eloy,Garcia,Z.,291,"Western States Petroleum Association"
408,Hellan,Dowden,R.,4927,"Nexus Ewater Inc."
408,Hellan,Dowden,R.,29044,"Teachers for Healthy Kids"
409,Michael,Arnold,J.,479,"California Dialysis Council"
410,Kristian,Foy,E.,475,"Association Of Bay Area Governments"
410,Kristian,Foy,E.,556,"Three Valleys Municipal Water District"
415,Elizabeth,Martin,NULL,606,"The Sierra Fund"
417,"J. Kevin",Pedrotti,NULL,730,"Aetna, Inc."
417,"J. Kevin",Pedrotti,NULL,1954,"Sanofi-Aventis Group "
424,Debra,Carlton,NULL,671,"California Apartment Association"
427,Rusty,Selix,NULL,731,"California Council Of Community Mental Health Agencies"
427,Rusty,Selix,NULL,732,"Mental Health Association In California"
431,Alice,Kessler,NULL,1716,"Covanta Energy"
431,Alice,Kessler,NULL,28875,"Special Education Local Plan Area Administrators of California"
431,Alice,Kessler,NULL,29393,"Quality California"
432,Douglas,Houston,D.,635,"East Bay Regional Park District"
432,Douglas,Houston,D.,1197,"Orange County Water District"
432,Douglas,Houston,D.,3314,"Watershed Conservation Authority"
432,Douglas,Houston,D.,4157,"State Park Partners Coalition"
434,William,Devine,H.,468,At&T
435,Peter,Kellison,C.,256,"California Nurse Midwives Association"
435,Peter,Kellison,C.,2459,"Walgreen Co."
435,Peter,Kellison,C.,5511,"Together We Grow"
435,Peter,Kellison,C.,28373,"Saint Paul's PACE Program"
444,Bruce,Magnani,A.,212,"California Large Energy Consumers Association"
444,Bruce,Magnani,A.,569,"California Concrete Contractors Association"
444,Bruce,Magnani,A.,714,"California Cogeneration Council"
444,Bruce,Magnani,A.,2167,"Rio Tinto Minerals Inc."
444,Bruce,Magnani,A.,3000,"California Precast Concrete Association"
446,Marla,Marshall,B.,733,"San Diego County Sheriff'S Department"
448,John,Lovell,NULL,704,"Association For Los Angeles Deputy Sheriffs"
448,John,Lovell,NULL,736,"Los Angeles Police Protective League"
448,John,Lovell,NULL,738,"Riverside Sheriffs' Association"
448,John,Lovell,NULL,745,"California Police Chiefs Association"
448,John,Lovell,NULL,746,"California Narcotic Officers' Association"
448,John,Lovell,NULL,1817,"League Of California Cities"
448,John,Lovell,NULL,1983,"Los Angeles County Professional Peace Officers Association"
448,John,Lovell,NULL,2286,"California Association Of Code Enforcement Officers"
448,John,Lovell,NULL,4879,"California College And University Police Chiefs Association"
448,John,Lovell,NULL,29072,"LA County Professional Police Officers"
448,John,Lovell,NULL,29073,"Association of Los Angeles Deputy Sheriffs"
458,Robert,Blattner,W.,2243,"Natomas Unified School District"
458,Robert,Blattner,W.,4553,"Newport-Mesa Unified School District"
462,Nancy,"La Casse",M.,589,"California Interscholastic Federation"
462,Nancy,"La Casse",M.,592,"Clovis Unified School District"
462,Nancy,"La Casse",M.,863,"Sacramento City Unified School District"
462,Nancy,"La Casse",M.,5191,"California School Funding Coalition"
462,Nancy,"La Casse",M.,28876,"Special Education Coalition of California"
463,Gary,Conover,H.,763,"Western United Dairymen"
470,Salvador,Villasenor,NULL,451,"Association Of California School Administrators"
478,Timothy,"Shannon Jr.",J.,1137,"California Association Of Marriage And Family Therapists"
478,Timothy,"Shannon Jr.",J.,1139,"California Orthopaedic Association"
478,Timothy,"Shannon Jr.",J.,1140,"Children'S Specialty Care Coalition"
478,Timothy,"Shannon Jr.",J.,29263,"California Association of American Family Therapists"
482,Richard,Lyon,J.,905,"California Building Industry Association"
484,Robert,Raymer,E.,905,"California Building Industry Association"
484,Robert,Raymer,E.,1204,"California Business Properties Association"
487,Kathleen,Cole,M.,808,"The Metropolitan Water District Of Southern California"
487,Kathleen,Cole,M.,974,"Kern County Water Agency"
487,Kathleen,Cole,M.,1004,"Westlands Water District"
487,Kathleen,Cole,M.,1034,"San Luis & Delta-Mendota Water Authority"
487,Kathleen,Cole,M.,1746,"Santa Clara Valley Water District"
488,Pilar,Onate-Quintana,D.,48,"Barona Band Of Mission Indians"
488,Pilar,Onate-Quintana,D.,3609,"North Bay Water Reuse Authority C/O Nocato Sanirty District"
488,Pilar,Onate-Quintana,D.,4256,"Yuba County Water Agency"
489,Pat,Zenzola,F.,1437,"Google Inc."
489,Pat,Zenzola,F.,3973,"Kp Public Affairs"
493,Michael,Rogge,J.,1085,"California Manufacturers And Technology Association"
502,Josh,Pane,J.,852,"California Bus Association"
506,Armand,Feliciano,R.,2535,"Association Of California Insurance Companies"
506,Armand,Feliciano,R.,2873,"California Autobody Association"
506,Armand,Feliciano,R.,2882,"Automotive Service Councils Of California"
510,Donald,Gilbert,B.,12526,"Rite Aid Corporation"
510,Donald,Gilbert,B.,916,Caloptima
510,Donald,Gilbert,B.,1125,"San Francisco Public Utilities Commission"
510,Donald,Gilbert,B.,1905,"San Francisco International Airport"
510,Donald,Gilbert,B.,3819,"Delta Diablo Sanitation District For The Bay Area Biosolids To Energy "
511,Michael,Robson,R.,918,"Glass Packaging Institute"
511,Michael,Robson,R.,1107,"American Chemistry Council"
511,Michael,Robson,R.,2030,"State Association Of County Retirement Systems (Sacrs)"
512,Debra,Brown,L.,2231,"Children Now"
512,Debra,Brown,L.,6526,"California Department of Education"
515,Beth,Capell,NULL,1255,"Health Access Foundation"
515,Beth,Capell,NULL,2230,"American Federation Of State, County & Municiple Employees (Afscme)"
515,Beth,Capell,NULL,3744,"California Teamsters Public Affairs Council"
518,Matthew,Sutton,T.,747,"California Restaurant Association"
520,Philip,Vermeulen,M.,827,"California Fence Contractors Association"
520,Philip,Vermeulen,M.,828,"Acclamation Insurance Services Inc."
520,Philip,Vermeulen,M.,904,"Flasher Barricade Association"
521,Richard,Markuson,H.,748,"Golden State Builders Exchanges"
521,Richard,Markuson,H.,1661,"Western Electrical Contractors Association (Weca-Iec)"
521,Richard,Markuson,H.,2506,"Associated Builders And Contractors Of California"
521,Richard,Markuson,H.,2918,"Plumbing Heating Cooling Contractors Of California"
521,Richard,Markuson,H.,28896,"Contractors Association of Plumbing, Heating, Cooling"
521,Richard,Markuson,H.,28903,"Plumbing Heating and Cooling Contractors in California"
521,Richard,Markuson,H.,28908,"California Chapters of the American Fire Sprinkler Association"
521,Richard,Markuson,H.,29818,"American Petroleum and Convenience Store Association"
522,Nick,Cammarota,NULL,905,"California Building Industry Association"
528,Robert,Achermann,J.,909,"California Nevada Soft Drink Association"
528,Robert,Achermann,J.,924,"California Radiological Society"
528,Robert,Achermann,J.,925,"California Society Of Pathologists"
531,Lenny,Goldberg,M.,932,"California Tax Reform Association"
534,Richard,Polanco,G.,4249,"Enhanced Capital Partners, Inc."
536,Trent,Smith,E.,12526,"Rite Aid Corporation"
536,Trent,Smith,E.,812,"Quest Diagnostics Incorporated"
536,Trent,Smith,E.,849,"California State Association Of Public Administrators, Public Guardians, And Public Conservators"
536,Trent,Smith,E.,916,Caloptima
536,Trent,Smith,E.,1148,"Regional Parking, Inc."
536,Trent,Smith,E.,3261,"Health Plan Of San Mateo"
536,Trent,Smith,E.,4586,"Gold Coast Health Plan"
537,Lisa,Rodriguez,C.,998,"California Association Of Zoos And Aquariums"
537,Lisa,Rodriguez,C.,4659,"Gualco Group, The"
539,Jackson,Gualco,R.,973,"Imperial Irrigation District"
539,Jackson,Gualco,R.,974,"Kern County Water Agency"
539,Jackson,Gualco,R.,28447,"California Association of Wine Grape Growers"
541,Kendra,Daijogo,L.,976,"Kings River Water Association"
541,Kendra,Daijogo,L.,3591,"United Water Conservation District"
543,Edward,Manning,P.,291,"Western States Petroleum Association"
543,Edward,Manning,P.,763,"Western United Dairymen"
543,Edward,Manning,P.,1004,"Westlands Water District"
543,Edward,Manning,P.,1034,"San Luis & Delta-Mendota Water Authority"
543,Edward,Manning,P.,1601,"Hawaiian Gardens Casino"
548,Thomas,Duffy,G.,966,"Coalition For Adequate School Housing"
550,Ian,Padilla,NULL,966,"Coalition For Adequate School Housing"
550,Ian,Padilla,NULL,29856,"Community College Facilities Coalition"
552,David,Walrath,L.,941,"California Retired Teachers Association"
552,David,Walrath,L.,966,"Coalition For Adequate School Housing"
553,Mark,Theisen,A.,998,"California Association Of Zoos And Aquariums"
555,Keith,Dunn,N.,671,"California Apartment Association"
555,Keith,Dunn,N.,3491,"Self-Help Counties Coaltion"
555,Keith,Dunn,N.,3557,"Association For California High Speed Trains"
555,Keith,Dunn,N.,29146,"California Department Association"
559,Craig,Brown,L.,1066,"California Correctional Peace Officers Association"
564,Trudi,Hughes,NULL,1063,"California League of Food Processors"
566,Sande,George,NULL,978,"American Planning Association, California Chapter"
566,Sande,George,NULL,1160,"Union Pacific Railroad"
573,James,Lindburg,D.,1073,"Friends Committee On Legislation Of California"
575,Heidi,Barsuglia,DeJong,1224,"Sempra Energy And Its Affiliates: San Diego Gas & Electric, Southern California Gas Co., And Sempra Energy Global Enterprises"
577,Mary,Jann,NULL,303,"California Association Of Health Facilities"
584,Stephen,Cattolica,J.,611,"California Society Of Industrial Medicine And Surgery"
584,Stephen,Cattolica,J.,1120,"California Society Of Physical Medicine And Rehabilitation"
584,Stephen,Cattolica,J.,4533,"California Neurology Society"
