oid,name,hid
439,"Association Of Regional Center Agencies",1
3723,"California Teachers Association",15
1221,"California Waterfowl Association",20
3744,"California Teamsters Public Affairs Council",29
3252,"California Association For Bilingual Education",30
3460,"Arc Of California; The",33
1333,"Sierra Club",36
44,"California Rural Legal Assistance Foundation, Inc.",36
5481,"Privacy Rights Clearinghouse",37
3076,"Autism Speaks",39
439,"Association Of Regional Center Agencies",39
3460,"Arc Of California; The",39
3604,"Environmental Working Group",40
1692,"California Independent Petroleum Association (Cipa)",40
925,"California Society Of Pathologists",41
187,"Western Center On Law And Poverty Inc.",43
905,"California Building Industry Association",43
3744,"California Teamsters Public Affairs Council",44
1255,"Health Access Foundation",45
131,"County Welfare Directors Association Of California (Cwda)",49
1140,"Children'S Specialty Care Coalition",49
3784,"Center For Autism And Related Disorders (Card); The",49
1797,"Planned Parenthood Affiliates Of California",49
585,"California Dental Assistants Association",49
1333,"Sierra Club",52
4659,"Gualco Group, The",54
319,"California Professional Firefighters",54
1085,"California Manufacturers And Technology Association",54
449,"American Federation Of State County And Municipal Employees Afl-Cio",54
1014,"Los Angeles Unified School District",55
3723,"California Teachers Association",55
1705,"California March Of Dimes Birth Defects Foundation",61
1652,"Gilead Sciences, Inc.",61
611,"California Society Of Industrial Medicine And Surgery",65
1066,"California Correctional Peace Officers Association",65
214,"State Building & Construction Trades Council Of California",65
1073,"Friends Committee On Legislation Of California",69
507,"Association Of Independent California Colleges & Universities (Aiccu)",72
2513,"Mccallum Group, Inc.",72
319,"California Professional Firefighters",73
2635,"Faculty Association Of California Community Colleges",73
170,"Regional Council Of Rural Counties (Rcrc) And Its Joint Powers Authorities",75
3070,"Monterey Bay Aquarium",76
998,"California Association Of Zoos And Aquariums",76
3497,"Humane Society Of The United States, The",76
132,"Housing California",79
449,"American Federation Of State County And Municipal Employees Afl-Cio",79
4128,"School Energy Coalition",80
940,"California Charter Schools Association",80
922,"California Alliance Of Child And Family Services",80
451,"Association Of California School Administrators",80
2582,"California State Association Of Electrical Workers",83
236,"Jewish Public Affairs Committee Of California",86
1788,"National Association Of Social Workers, California Chapter",86
940,"California Charter Schools Association",88
2185,"Riverside County Office Of Education",88
2186,"Riverside County Schools Advocacy Association",88
4995,"Campbell Union School District",88
1538,"California Association Of Local Conservation Corps",91
439,"Association Of Regional Center Agencies",92
439,"Association Of Regional Center Agencies",92
3460,"Arc Of California; The",92
2799,"California Association Of Food Banks",96
4927,"Nexus Ewater Inc.",96
172,"The Nature Conservancy",96
1085,"California Manufacturers And Technology Association",97
5913,"California Pan-Ethnic Health Network",97
507,"Association Of Independent California Colleges & Universities (Aiccu)",98
2506,"Associated Builders And Contractors Of California",98
1370,"California Agricultural Commissioners & Sealers Association",98
4595,"California Community College Independents",98
2705,"Ventura County Board Of Education",98
122,"University Of Southern California The",98
3124,"California Biomedical Research Association",98
170,"Regional Council Of Rural Counties (Rcrc) And Its Joint Powers Authorities",98
131,"County Welfare Directors Association Of California (Cwda)",99
131,"County Welfare Directors Association Of California (Cwda)",99
131,"County Welfare Directors Association Of California (Cwda)",99
1193,"California Assisted Living Association",99
2230,"American Federation Of State, County & Municiple Employees (Afscme)",99
5473,"American Lung Association in California",101
330,"California Land Title Association",103
4879,"California College And University Police Chiefs Association",103
715,"Los Angeles County District Attorney'S Office",104
4879,"California College And University Police Chiefs Association",104
4879,"California College And University Police Chiefs Association",104
4879,"California College And University Police Chiefs Association",104
1073,"Friends Committee On Legislation Of California",104
2140,"National Rifle Association Institute For Legislative Action",104
2284,"Los Angeles County Sheriff'S Department",104
1066,"California Correctional Peace Officers Association",104
2529,"California State Sheriffs' Association",104
2529,"California State Sheriffs' Association",104
1442,"California Judges Association",104
1125,"San Francisco Public Utilities Commission",107
703,"California Cotton Growers Association",107
1286,"Southern California Contractors' Association",107
2412,"California Association Of Sanitation Agencies",107
1934,"Western Growers Association",107
1538,"California Association Of Local Conservation Corps",107
1066,"California Correctional Peace Officers Association",108
190,"Personal Insurance Federation Of California",109
3703,"Governmental Advocates, Inc.",109
764,"California Association Of Psychiatric Technicians",109
1983,"Los Angeles County Professional Peace Officers Association",109
704,"Association For Los Angeles Deputy Sheriffs",112
704,"Association For Los Angeles Deputy Sheriffs",112
131,"County Welfare Directors Association Of California (Cwda)",112
1073,"Friends Committee On Legislation Of California",112
4653,"California Attorneys For Criminal Justice",112
3928,"Laborers' International Union Of North America Local 777",112
3928,"Laborers' International Union Of North America Local 777",112
1289,"California Psychological Association",112
3875,"Ella Baker Center For Human Rights",112
2023,"Drug Policy Alliance Network",112
380,"Urban Counties Caucus",112
2529,"California State Sheriffs' Association",112
2529,"California State Sheriffs' Association",112
2529,"California State Sheriffs' Association",112
3366,"Sacramento County Deputy Sheriffs' Association",112
3366,"Sacramento County Deputy Sheriffs' Association",112
2624,"California District Attorneys Association",112
2624,"California District Attorneys Association",112
2624,"California District Attorneys Association",112
2624,"California District Attorneys Association",112
2624,"California District Attorneys Association",112
2624,"California District Attorneys Association",112
2624,"California District Attorneys Association",112
4653,"California Attorneys For Criminal Justice",112
4653,"California Attorneys For Criminal Justice",112
4653,"California Attorneys For Criminal Justice",112
3367,"State Coalition Of Probation Organizations",112
47,"Clean Power Campaign",113
47,"Clean Power Campaign",113
1582,"Sacramento Municipal Utility District",113
1217,"Southern California Public Power Authority (Scppa)",113
3972,"Msr Public Power Agency",113
291,"Western States Petroleum Association",113
18153,"Energysource, LLC",113
1559,"California Biomass Energy Alliance",113
5473,"American Lung Association in California",113
5473,"American Lung Association in California",113
214,"State Building & Construction Trades Council Of California",113
1085,"California Manufacturers And Technology Association",113
1085,"California Manufacturers And Technology Association",113
1085,"California Manufacturers And Technology Association",113
701,"California Farm Bureau Federation",113
2611,"National Federation Of Independent Business",113
89,"California Chamber Of Commerce",113
89,"California Chamber Of Commerce",113
231,"California Municipal Utilities Association",113
231,"California Municipal Utilities Association",113
231,"California Municipal Utilities Association",113
1333,"Sierra Club",113
1333,"Sierra Club",113
2412,"California Association Of Sanitation Agencies",113
2412,"California Association Of Sanitation Agencies",113
4997,"Carbon Cycle Institute",113
2360,"California Alliance For Arts Education",114
2513,"Mccallum Group, Inc.",115
2513,"Mccallum Group, Inc.",115
2513,"Mccallum Group, Inc.",115
2407,"Hispanic Association Of Colleges And Universities (Hacu)",115
361,Edvoice,115
410,"Oakland Unified School District",115
587,"Association Of California Community College Administrators",115
659,"Fresno Unified School District",115
242,"California Federation Of Teachers",115
5913,"California Pan-Ethnic Health Network",115
2219,"Service Employees International Union, Local 1000",115
25,"California Newspaper Publishers Association",116
746,"California Narcotic Officers' Association",116
746,"California Narcotic Officers' Association",116
1066,"California Correctional Peace Officers Association",116
1073,"Friends Committee On Legislation Of California",116
1073,"Friends Committee On Legislation Of California",116
1117,"California Catholic Conference",116
4158,"Platinum Advisors LLC",116
1289,"California Psychological Association",116
1289,"California Psychological Association",116
1788,"National Association Of Social Workers, California Chapter",116
1788,"National Association Of Social Workers, California Chapter",116
1788,"National Association Of Social Workers, California Chapter",116
148,"Conference Of Delegates Of California Bar Associations",116
3460,"Arc Of California; The",116
3460,"Arc Of California; The",116
2023,"Drug Policy Alliance Network",116
745,"California Police Chiefs Association",116
492,"American Civil Liberties Union Foundation Of Southern California",116
492,"American Civil Liberties Union Foundation Of Southern California",116
492,"American Civil Liberties Union Foundation Of Southern California",116
4653,"California Attorneys For Criminal Justice",116
3367,"State Coalition Of Probation Organizations",116
744,"California Association Of Nurseries And Garden Centers",117
214,"State Building & Construction Trades Council Of California",117
214,"State Building & Construction Trades Council Of California",117
214,"State Building & Construction Trades Council Of California",117
214,"State Building & Construction Trades Council Of California",117
214,"State Building & Construction Trades Council Of California",117
214,"State Building & Construction Trades Council Of California",117
214,"State Building & Construction Trades Council Of California",117
1693,"Civil Justice Association Of California",117
3744,"California Teamsters Public Affairs Council",117
3744,"California Teamsters Public Affairs Council",117
3744,"California Teamsters Public Affairs Council",117
3744,"California Teamsters Public Affairs Council",117
3744,"California Teamsters Public Affairs Council",117
3744,"California Teamsters Public Affairs Council",117
3744,"California Teamsters Public Affairs Council",117
89,"California Chamber Of Commerce",117
89,"California Chamber Of Commerce",117
3460,"Arc Of California; The",117
1085,"California Manufacturers And Technology Association",117
1085,"California Manufacturers And Technology Association",117
1934,"Western Growers Association",117
1934,"Western Growers Association",117
153,"Consumer Attorneys Of California",117
2581,"California State Pipe Trades Council",117
2581,"California State Pipe Trades Council",117
3821,"California Employment Lawyers Association",117
3821,"California Employment Lawyers Association",118
5913,"California Pan-Ethnic Health Network",118
131,"County Welfare Directors Association Of California (Cwda)",119
1117,"California Catholic Conference",119
747,"California Restaurant Association",119
2623,"California Coalition On Workers Compensation",119
4003,"Service Employees International Union Local 1877",119
1858,"California Ambulance Association",119
701,"California Farm Bureau Federation",119
3744,"California Teamsters Public Affairs Council",119
3744,"California Teamsters Public Affairs Council",119
3744,"California Teamsters Public Affairs Council",119
3744,"California Teamsters Public Affairs Council",119
1788,"National Association Of Social Workers, California Chapter",119
2611,"National Federation Of Independent Business",119
1085,"California Manufacturers And Technology Association",119
2172,"Western Car Wash Association",119
3112,"Political Solutions Inc.",119
89,"California Chamber Of Commerce",119
1934,"Western Growers Association",119
2230,"American Federation Of State, County & Municiple Employees (Afscme)",119
230,"California School Employees Association",119
268,"City Of Oakland",119
492,"American Civil Liberties Union Foundation Of Southern California",120
1073,"Friends Committee On Legislation Of California",120
190,"Personal Insurance Federation Of California",120
4918,"Shaw/Yoder/Antwih, Inc.",120
1638,"San Diego Association Of Governments",120
89,"California Chamber Of Commerce",120
89,"California Chamber Of Commerce",120
3885,"Jericho: A Voice For Justice",121
2581,"California State Pipe Trades Council",121
433,"California State Council Of Laborers",121
827,"California Fence Contractors Association",121
828,"Acclamation Insurance Services Inc.",121
904,"Flasher Barricade Association",121
3744,"California Teamsters Public Affairs Council",121
1107,"American Chemistry Council",123
1289,"California Psychological Association",123
1728,"American Nurses Association/California",123
5481,"Privacy Rights Clearinghouse",123
209,"Santa Clara Valley Transportation Authority",126
3604,"Environmental Working Group",126
794,"California Chapters-Institute Of Scrap Recycling Industries",126
966,"Coalition For Adequate School Housing",126
1992,"California Transit Association",126
9,"Associated General Contractors Of California",128
905,"California Building Industry Association",128
1117,"California Catholic Conference",128
1117,"California Catholic Conference",128
112,"California Employment Law Council",128
1497,"National Association Of Theatre Owners Of California/Nevada",128
2633,"California-Nevada Conference Of Operating Engineers",128
701,"California Farm Bureau Federation",128
89,"California Chamber Of Commerce",128
529,"Agricultural Council Of California",128
1934,"Western Growers Association",128
3821,"California Employment Lawyers Association",128
371,"Automobile Club Of Southern California/Interinsurance Exchange Of The Automobile Club/Acsc Management Services Inc.",129
1670,"California Tow Trucking Association",129
3327,"Transportation Authority Of Marin",129
2529,"California State Sheriffs' Association",129
2529,"California State Sheriffs' Association",129
3365,"Association Of Orange County Deputy Sheriffs",129
2656,"Metropolitan Transportation Commission",129
2437,"Community Alliance With Family Farmers",130
3766,"Heal The Bay",130
2813,"Alameda County Waste Management Authority",130
1954,"Sanofi-Aventis Group ",130
1716,"Covanta Energy",130
4256,"Yuba County Water Agency",130
1085,"California Manufacturers And Technology Association",130
1559,"California Biomass Energy Alliance",130
2228,"Los Angeles County Waste Management Association",130
2148,"Inland Empire Disposal Association",130
2228,"Los Angeles County Waste Management Association",130
1942,"Portable Rechargeable Battery Association",130
2375,"Eastern Municipal Water District",130
2349,"American Forest & Paper Association",130
2485,"San Diego County Water Authority",130
808,"The Metropolitan Water District Of Southern California",130
2333,"California Grain & Feed Association",130
2595,"Republic Services Western Region",130
2595,"Republic Services Western Region",130
3833,"Humboldt Redwood Company, LLC",130
3286,"Howard Jarvis Taxpayers Association",130
3286,"Howard Jarvis Taxpayers Association",130
3269,"Center For Biological Diversity, Inc.",130
253,"California Forestry Association",130
8,"California State Association Of Counties",130
8,"California State Association Of Counties",130
8,"California State Association Of Counties",130
1582,"Sacramento Municipal Utility District",130
1583,"Association Of Environmental Professionals",130
2412,"California Association Of Sanitation Agencies",130
2848,"The Ocean Conservancy",130
2848,"The Ocean Conservancy",130
2848,"The Ocean Conservancy",130
2848,"The Ocean Conservancy",130
2848,"The Ocean Conservancy",130
2848,"The Ocean Conservancy",130
2848,"The Ocean Conservancy",130
763,"Western United Dairymen",131
763,"Western United Dairymen",131
2090,"California Seed Association",131
2304,"Pacific Egg & Poultry Association",131
2333,"California Grain & Feed Association",131
4141,"Pacific Coast Rendering Association",131
3834,"Association Of California Egg Farmers",131
4653,"California Attorneys For Criminal Justice",132
4653,"California Attorneys For Criminal Justice",132
4611,"Knowledge Universe-Us, LLC",132
808,"The Metropolitan Water District Of Southern California",133
974,"Kern County Water Agency",133
1004,"Westlands Water District",133
1034,"San Luis & Delta-Mendota Water Authority",133
1746,"Santa Clara Valley Water District",133
172,"The Nature Conservancy",133
172,"The Nature Conservancy",133
172,"The Nature Conservancy",133
172,"The Nature Conservancy",133
507,"Association Of Independent California Colleges & Universities (Aiccu)",134
509,"California Food Policy Advocates",134
1418,"California Association Of Joint Powers Authorities",134
451,"Association Of California School Administrators",134
451,"Association Of California School Administrators",134
1973,"California Association Of Regional Occupational Centers And Programs",134
2808,"Alliance Of California Boys & Girls Clubs",134
2395,"California Language Teachers' Association",134
2318,"Los Angeles Community College District",134
2320,"Los Rios Community College District",134
2513,"Mccallum Group, Inc.",134
3704,"South Orange County Community College District",134
2407,"Hispanic Association Of Colleges And Universities (Hacu)",134
5126,"East San Gabriel Valley Regional Occupational Program And Technical Center",134
1911,"Southern California Regional Occupational Center",134
1788,"National Association Of Social Workers, California Chapter",134
861,"Small School Districts Association",134
861,"Small School Districts Association",134
1014,"Los Angeles Unified School District",134
242,"California Federation Of Teachers",134
122,"University Of Southern California The",134
242,"California Federation Of Teachers",134
1500,"Compton Unified School District",134
130,"California School Nurses Organization",135
8,"California State Association Of Counties",135
1140,"Children'S Specialty Care Coalition",135
4397,"American Cancer Society Cancer Action Network Inc.",135
1858,"California Ambulance Association",135
1099,"California Academy Of Family Physicians",135
71,"Kaiser Foundation Health Plan Inc.",135
71,"Kaiser Foundation Health Plan Inc.",135
71,"Kaiser Foundation Health Plan Inc.",135
709,"Blue Shield Of California",135
1705,"California March Of Dimes Birth Defects Foundation",135
1255,"Health Access Foundation",135
1648,"Association Of Northern California Oncologists",135
63,"American Heart Association",135
468,At&T,137
3088,"Los Angeles Dodgers",137
2669,"Underground Service Alert Of Southern California",137
2669,"Underground Service Alert Of Southern California",137
2669,"Underground Service Alert Of Southern California",137
2281,"California Council On Alcohol Problems (Ccap)",137
3286,"Howard Jarvis Taxpayers Association",137
79,"Viejas Band Of Kumeyaay Mission Indians",137
1780,"Pala Band Of Mission Indians",137
3556,"Habematolel Pomo Of Upper Lake",137
4902,"Communities For California Cardrooms",137
1646,"Family Winemakers Of California",137
3435,"Junior Blind Of America",137
227,"Aids Healthcare Foundation",139
247,"California Primary Care Association",139
1427,"Association Of California Life & Health Insurance Companies",139
5913,"California Pan-Ethnic Health Network",139
1492,"Enterprise Rent-A-Car Company Of Los Angeles",140
130,"California School Nurses Organization",141
130,"California School Nurses Organization",141
247,"California Primary Care Association",141
247,"California Primary Care Association",141
3339,CalPACE,141
4397,"American Cancer Society Cancer Action Network Inc.",141
66,"California Nurses Association",141
3723,"California Teachers Association",141
5913,"California Pan-Ethnic Health Network",141
1728,"American Nurses Association/California",141
5172,"6BEDS, Inc.",141
4675,"Consumer Federation Of California",141
509,"California Food Policy Advocates",142
131,"County Welfare Directors Association Of California (Cwda)",142
1788,"National Association Of Social Workers, California Chapter",142
1788,"National Association Of Social Workers, California Chapter",142
1788,"National Association Of Social Workers, California Chapter",142
1788,"National Association Of Social Workers, California Chapter",142
1788,"National Association Of Social Workers, California Chapter",142
1858,"California Ambulance Association",143
2611,"National Federation Of Independent Business",143
4780,"East Bay Innovations",148
709,"Blue Shield Of California",151
230,"California School Employees Association",151
230,"California School Employees Association",151
731,"California Council Of Community Mental Health Agencies",151
731,"California Council Of Community Mental Health Agencies",151
1140,"Children'S Specialty Care Coalition",151
1140,"Children'S Specialty Care Coalition",151
1255,"Health Access Foundation",151
1255,"Health Access Foundation",151
1255,"Health Access Foundation",151
1255,"Health Access Foundation",151
1255,"Health Access Foundation",151
1255,"Health Access Foundation",151
500,"California Chapter American College Of Emergency Physicians",151
500,"California Chapter American College Of Emergency Physicians",151
500,"California Chapter American College Of Emergency Physicians",151
4935,"Pharmaceutical Care Management Association",151
2442,"Adventist Health",151
1791,"California Association Of School Psychologists",151
214,"State Building & Construction Trades Council Of California",151
1761,"California Society Of Health-System Pharmacists",151
247,"California Primary Care Association",151
247,"California Primary Care Association",151
247,"California Primary Care Association",151
247,"California Primary Care Association",151
3339,CalPACE,151
1085,"California Manufacturers And Technology Association",151
17106,"Express Scripts Holding Company",151
29670,"American Health Insurance Plans",151
66,"California Nurses Association",151
66,"California Nurses Association",151
3173,"Astellas Pharma Us Inc.",151
2529,"California State Sheriffs' Association",151
894,"California Healthcare Institute (Chi)",151
894,"California Healthcare Institute (Chi)",151
894,"California Healthcare Institute (Chi)",151
894,"California Healthcare Institute (Chi)",151
709,"Blue Shield Of California",151
1705,"California March Of Dimes Birth Defects Foundation",151
1705,"California March Of Dimes Birth Defects Foundation",151
63,"American Heart Association",151
5913,"California Pan-Ethnic Health Network",151
5913,"California Pan-Ethnic Health Network",151
5913,"California Pan-Ethnic Health Network",151
5913,"California Pan-Ethnic Health Network",151
1500,"Compton Unified School District",151
996,"California Beer & Beverage Distributors",152
230,"California School Employees Association",153
292,"Merck & Co., Inc. Including Merck Human Health Division And Medco Health Solutions Inc. ('Medco Health') And Medco Cal",154
363,"Genentech, Inc.",154
800,"Johnson & Johnson Services, Inc.",154
3409,"Novo Nordisk, Inc.",154
2459,"Walgreen Co.",154
1137,"California Association Of Marriage And Family Therapists",154
904,"Flasher Barricade Association",154
4935,"Pharmaceutical Care Management Association",154
4371,"Ucb, Inc.",154
301,"California Retailers Association",154
381,"California Public Interest Research Group (Calpirg)",154
3604,"Environmental Working Group",155
3604,"Environmental Working Group",155
548,"League Of Women Voters Of California",155
548,"League Of Women Voters Of California",155
89,"California Chamber Of Commerce",155
291,"Western States Petroleum Association",155
291,"Western States Petroleum Association",155
606,"The Sierra Fund",155
1197,"Orange County Water District",155
3314,"Watershed Conservation Authority",155
1085,"California Manufacturers And Technology Association",155
1692,"California Independent Petroleum Association (Cipa)",155
1692,"California Independent Petroleum Association (Cipa)",155
1197,"Orange County Water District",155
701,"California Farm Bureau Federation",155
